Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline_emissions,TUR,gigatCO2 / year,0.435783,0.492239,0.52996,0.54215,0.545496,0.558793,0.585767,0.624137,0.66265,0.690832,0.710299,0.725684,0.741595,0.759778,0.770554,0.766044,0.756966,0.754989,0.756966,0.757496,0.756966,0.756824,0.756966,0.757004,0.756966,0.756956,0.756966
baseline_emissions,UKR,gigatCO2 / year,0.403864,0.401692,0.415451,0.46025,0.50401,0.516025,0.518264,0.535479,0.550878,0.544911,0.528551,0.516616,0.508792,0.502243,0.499172,0.501742,0.50692,0.511233,0.514668,0.517894,0.520866,0.523404,0.525515,0.527246,0.528614,0.52961,0.530164
baseline_emissions,STAN,gigatCO2 / year,0.485141,0.518309,0.546231,0.555221,0.543363,0.517351,0.506576,0.531944,0.557733,0.553118,0.563493,0.629928,0.69998,0.717626,0.70605,0.699824,0.699875,0.700096,0.699875,0.699816,0.699875,0.699891,0.699875,0.699871,0.699875,0.699877,0.699875
baseline_emissions,RUS,gigatCO2 / year,1.8782,1.99533,2.08462,2.12199,2.11877,2.09491,2.06921,2.05923,2.07853,2.12479,2.13591,2.06415,1.97899,1.9521,1.94692,1.91694,1.88422,1.87755,1.88422,1.886,1.88422,1.88374,1.88422,1.88435,1.88422,1.88418,1.88422
baseline_emissions,ME,gigatCO2 / year,2.00627,2.10534,2.21721,2.39215,2.58611,2.74985,2.90768,3.08874,3.2679,3.41487,3.53286,3.63707,3.7568,3.91259,4.07565,4.21567,4.34561,4.48237,4.61556,4.73161,4.83153,4.91897,4.99351,5.0541,5.10149,5.13611,5.15548
baseline_emissions,INDIA,gigatCO2 / year,2.77719,3.39385,3.97614,4.48822,5.05754,5.80403,6.65448,7.51087,8.36932,9.22429,9.96951,10.5163,10.9464,11.3496,11.6761,11.8729,12.0136,12.1787,12.3511,12.4977,12.6211,12.73,12.8236,12.8994,12.9586,13.0018,13.0261
baseline_emissions,KOR,gigatCO2 / year,0.784572,0.832647,0.861087,0.859125,0.839708,0.818118,0.795251,0.768943,0.739179,0.705985,0.667399,0.622676,0.577913,0.539563,0.508661,0.485411,0.472114,0.469775,0.472114,0.47274,0.472114,0.471946,0.472114,0.472159,0.472114,0.472102,0.472114
baseline_emissions,CHN,gigatCO2 / year,11.3913,12.3409,12.977,13.2454,13.25,13.1048,12.805,12.3276,11.6962,10.9422,10.0828,9.15473,8.28772,7.60038,7.07358,6.67263,6.43847,6.397,6.43847,6.44958,6.43847,6.43549,6.43847,6.43927,6.43847,6.43826,6.43847
baseline_emissions,SEAS,gigatCO2 / year,1.51417,1.81039,2.07059,2.22389,2.28259,2.2905,2.33417,2.47726,2.64915,2.77619,2.90709,3.08594,3.2161,3.21587,3.20421,3.30573,3.46719,3.60977,3.73018,3.84072,3.94056,4.02642,4.09835,4.1572,4.20355,4.23733,4.25615
baseline_emissions,INDO,gigatCO2 / year,1.63506,1.70037,1.76219,1.8435,1.8944,1.87365,1.84736,1.88564,1.96713,2.04999,2.10178,2.1055,2.09651,2.11158,2.14079,2.16703,2.19098,2.21636,2.24117,2.26276,2.28133,2.29758,2.31144,2.32271,2.33152,2.33795,2.34156
baseline_emissions,JAP,gigatCO2 / year,1.06462,1.01508,0.976594,0.957149,0.954205,0.962778,0.978633,0.996273,1.00439,0.993205,0.964772,0.925994,0.891273,0.872112,0.860933,0.848635,0.839121,0.837303,0.839121,0.839609,0.839121,0.838991,0.839121,0.839156,0.839121,0.839112,0.839121
baseline_emissions,OCE,gigatCO2 / year,0.388396,0.370183,0.367532,0.419941,0.489457,0.527619,0.521411,0.478493,0.453802,0.489184,0.526855,0.508869,0.476266,0.478661,0.500997,0.518489,0.532114,0.547517,0.563232,0.576705,0.588126,0.59818,0.606796,0.613788,0.619243,0.623233,0.625467
baseline_emissions,RSAS,gigatCO2 / year,0.417044,0.539085,0.668519,0.798955,0.944922,1.12495,1.35264,1.63227,1.93571,2.23669,2.54868,2.88994,3.25806,3.64735,4.0597,4.49668,4.95106,5.40943,5.84242,6.22377,6.55551,6.84473,7.09033,7.29027,7.44687,7.56123,7.62514
baseline_emissions,RSAF,gigatCO2 / year,0.786528,0.718094,0.787644,1.13764,1.43626,1.3616,1.10586,0.936728,0.909927,1.01939,1.22387,1.47408,1.72357,1.94114,2.15382,2.39309,2.65,2.90621,3.14617,3.35816,3.5431,3.70417,3.84081,3.95208,4.03928,4.10294,4.13851
MAC_SSP_calibration_factor,Global,dimensionless,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cumulative_baseline_emissions,CAN,gigatCO2,0,2.58312,5.2567,8.07964,11.0189,13.9245,16.7017,19.4587,22.359,25.4451,28.6494,31.8522,34.9512,37.9188,40.8057,43.7189,46.7516,49.9238,53.2155,56.6118,60.1037,63.6801,67.3281,71.0356,74.7909,78.5825,82.3981
cumulative_baseline_emissions,USA,gigatCO2,0,26.4151,51.806,76.6342,101.537,126.836,152.574,178.655,204.907,231.126,257.152,282.938,308.612,334.473,360.769,387.5,414.57,441.96,469.69,497.735,526.052,554.603,583.357,612.28,641.339,670.501,699.731
cumulative_baseline_emissions,MEX,gigatCO2,0,2.90447,5.93031,9.17323,12.6787,16.3707,20.156,24.0355,28.0658,32.2924,36.7159,41.2801,45.917,50.5968,55.3411,60.2167,65.287,70.5673,76.0423,81.6921,87.4976,93.4395,99.4981,105.654,111.887,118.18,124.512
cumulative_baseline_emissions,RCAM,gigatCO2,0,1.55476,3.20306,4.94824,6.80603,8.84238,11.1534,13.8304,16.9262,20.4313,24.2968,28.4655,32.8914,37.5512,42.4303,47.5087,52.7713,58.218,63.8488,69.6491,75.5968,81.6726,87.8588,94.1372,100.489,106.897,113.342
cumulative_baseline_emissions,BRA,gigatCO2,0,7.97147,16.2544,25.2976,35.4419,46.4293,57.5539,67.99,77.1903,85.2059,92.6263,100.307,108.622,116.953,124.617,131.785,138.946,146.211,153.476,160.713,167.949,175.194,182.438,189.68,196.923,204.166,211.408
cumulative_baseline_emissions,RSAM,gigatCO2,0,7.31352,15.253,23.4361,31.814,41.001,51.3227,62.0022,72.1731,81.952,91.921,102.38,113.271,124.307,135.256,146.164,157.174,168.321,179.571,190.906,202.324,213.815,225.368,236.972,248.618,260.294,271.991
cumulative_baseline_emissions,NAF,gigatCO2,0,3.0945,6.51832,10.2036,14.0677,18.0421,22.144,26.5184,31.3276,36.6321,42.3935,48.5165,54.9235,61.6147,68.6295,75.9977,83.7353,91.8506,100.335,109.158,118.276,127.652,137.249,147.031,156.96,167.002,177.118
