Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
relative_abatement,SAF,fraction_of_baseline_emissions,0.0110617,0.310458,0.543247,0.604945,0.66085,0.70957,0.752507,0.791531,0.827574,0.861236,0.892848,0.922553,0.95027,0.975759,0.998798,1.01859,1.10313,1.09633,1.09558,1.09502,1.09453,1.0941,1.09374,1.09343,1.09319,1.09301,1.0929
relative_abatement,WEU,fraction_of_baseline_emissions,0.00582871,0.216537,0.456375,0.582806,0.626969,0.664877,0.698063,0.727956,0.755464,0.781331,0.805461,0.827359,0.847222,0.865648,0.882842,0.898775,0.971291,0.949276,0.950595,0.951635,0.952543,0.953303,0.953926,0.95443,0.954824,0.955114,0.955285
relative_abatement,CEU,fraction_of_baseline_emissions,0.00843728,0.227788,0.472379,0.590335,0.643211,0.687856,0.726439,0.761122,0.793492,0.824677,0.854122,0.880938,0.905175,0.927197,0.947263,0.965189,1.04507,1.03468,1.03459,1.03454,1.03451,1.03448,1.03444,1.03441,1.03438,1.03436,1.03434
relative_abatement,TUR,fraction_of_baseline_emissions,0.00849037,0.336068,0.43125,0.479259,0.522573,0.560807,0.595255,0.626983,0.656365,0.683665,0.709044,0.732626,0.754523,0.774633,0.792712,0.809274,0.876608,0.864444,0.864976,0.865054,0.864945,0.8649,0.864895,0.864859,0.864801,0.864738,0.864669
relative_abatement,UKR,fraction_of_baseline_emissions,0.0102817,0.246505,0.434678,0.490854,0.540664,0.583665,0.622377,0.658193,0.691843,0.724347,0.755031,0.782806,0.808088,0.831535,0.853018,0.872744,0.946627,0.942297,0.942819,0.943252,0.943648,0.943987,0.944273,0.944512,0.944705,0.944852,0.944947
relative_abatement,STAN,fraction_of_baseline_emissions,0.00690644,0.295339,0.330789,0.374462,0.412486,0.444394,0.471857,0.495847,0.517511,0.538783,0.55968,0.578454,0.594688,0.609509,0.62331,0.637176,0.689226,0.678114,0.678806,0.679034,0.679319,0.679555,0.679755,0.679936,0.680095,0.680227,0.680335
relative_abatement,RUS,fraction_of_baseline_emissions,0.00587696,0.294032,0.451627,0.502687,0.545969,0.580331,0.608851,0.634797,0.659464,0.682743,0.703446,0.721462,0.737784,0.752578,0.765604,0.778441,0.838076,0.815673,0.817384,0.817758,0.817837,0.818033,0.818293,0.818492,0.818645,0.818786,0.818913
relative_abatement,ME,fraction_of_baseline_emissions,0.00533363,0.285294,0.416628,0.460631,0.49931,0.532183,0.561043,0.587433,0.612197,0.635875,0.658457,0.679899,0.700344,0.719752,0.737951,0.755748,0.819837,0.797551,0.803909,0.808542,0.812369,0.815581,0.818216,0.82028,0.821837,0.822926,0.823479
relative_abatement,INDIA,fraction_of_baseline_emissions,0.00431794,0.339257,0.380761,0.434585,0.485307,0.531969,0.575364,0.616464,0.655638,0.692929,0.728155,0.761287,0.792501,0.821803,0.848966,0.882181,0.945899,0.964673,0.965113,0.965526,0.965868,0.966165,0.966418,0.96662,0.966776,0.966889,0.966952
relative_abatement,KOR,fraction_of_baseline_emissions,0.0105371,0.293311,0.542092,0.651449,0.70553,0.751845,0.792213,0.828133,0.860206,0.888739,0.914439,0.938061,0.959794,0.979437,0.99652,1.01026,1.08831,1.06742,1.06692,1.06688,1.067,1.06705,1.06706,1.06709,1.06713,1.06717,1.0672
relative_abatement,CHN,fraction_of_baseline_emissions,0.00451122,0.307709,0.559335,0.703306,0.771813,0.830817,0.881585,0.92518,0.963526,0.998342,1.02994,1.0583,1.08379,1.10663,1.12644,1.14159,1.23077,1.2121,1.21035,1.21007,1.2105,1.21065,1.21061,1.21064,1.21073,1.2108,1.21086
relative_abatement,SEAS,fraction_of_baseline_emissions,0.00567989,0.370463,0.407757,0.457526,0.503591,0.545724,0.584986,0.621962,0.656873,0.69009,0.721715,0.751443,0.77914,0.805106,0.829311,0.85162,0.927744,0.923994,0.926219,0.928087,0.929667,0.930935,0.931924,0.932672,0.933203,0.933527,0.933615
relative_abatement,INDO,fraction_of_baseline_emissions,0.00554042,0.278829,0.426678,0.486731,0.542338,0.593026,0.639955,0.683804,0.724662,0.762562,0.797714,0.830523,0.861331,0.890106,0.916517,0.940301,1.02423,1.03137,1.03113,1.03092,1.03075,1.03061,1.03051,1.03045,1.03042,1.03042,1.03046
relative_abatement,JAP,fraction_of_baseline_emissions,0.0100336,0.213394,0.453635,0.71937,0.772425,0.814414,0.850785,0.883415,0.913274,0.941055,0.966877,0.990765,1.0132,1.03446,1.05427,1.07135,1.15795,1.14889,1.14837,1.14832,1.14843,1.14848,1.14849,1.14852,1.14856,1.14861,1.14867
relative_abatement,OCE,fraction_of_baseline_emissions,0.0162172,0.21315,0.470334,0.766786,0.890608,0.93812,0.978953,1.01632,1.05172,1.08457,1.11485,1.14375,1.17097,1.19552,1.21794,1.23655,1.33657,1.33409,1.32447,1.31647,1.30996,1.30445,1.29987,1.29624,1.29347,1.29147,1.29035
relative_abatement,RSAS,fraction_of_baseline_emissions,0.00563523,0.254356,0.283573,0.322954,0.36132,0.398222,0.434284,0.470096,0.505849,0.541561,0.577052,0.612034,0.646066,0.678857,0.710747,0.757685,0.80134,0.81603,0.829416,0.839671,0.847652,0.854002,0.859003,0.862837,0.865707,0.867737,0.868855
relative_abatement,RSAF,fraction_of_baseline_emissions,0.0048082,0.17915,0.259422,0.290626,0.320172,0.350472,0.380211,0.414533,0.449638,0.485836,0.522625,0.559551,0.596004,0.631757,0.667123,0.702314,0.781131,0.77524,0.792524,0.805437,0.81549,0.823459,0.829718,0.834516,0.83811,0.840657,0.842073
regional_emission_reduction,CAN,GtCO2/yr,-2.72006e-17,0.138004,0.29019,0.39262,0.418583,0.418777,0.416424,0.443761,0.488365,0.528013,0.550658,0.550345,0.537277,0.525697,0.528693,0.554059,0.627543,0.636021,0.657649,0.676375,0.693353,0.707915,0.720101,0.730058,0.73787,0.74352,0.746608
regional_emission_reduction,USA,GtCO2/yr,-3.54033e-16,1.12687,2.27721,3.55,3.9298,4.14456,4.34619,4.50279,4.61192,4.67452,4.70693,4.73343,4.7937,4.91366,5.04858,5.14838,5.56744,5.31523,5.41986,5.47876,5.53005,5.57527,5.61416,5.64599,5.67112,5.6898,5.70087
regional_emission_reduction,MEX,GtCO2/yr,-3.80974e-18,0.15926,0.333233,0.399502,0.465919,0.514661,0.555251,0.603486,0.661327,0.725018,0.784287,0.829573,0.864771,0.898224,0.940217,0.997479,1.13191,1.18222,1.21596,1.24786,1.27609,1.30061,1.32137,1.33836,1.35172,1.36149,1.36701
regional_emission_reduction,RCAM,GtCO2/yr,-1.03647e-17,0.0929204,0.152962,0.18055,0.213744,0.259243,0.320489,0.397732,0.483576,0.568609,0.648991,0.723371,0.794414,0.865094,0.933815,1.00983,1.11525,1.19306,1.22181,1.25288,1.27978,1.30341,1.32364,1.34021,1.35327,1.36293,1.36854
